NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
PubClient,2.0,0,3,1.0,6,0,0,0.0,0,1,7,0,0,126,1,0,4,0,0,11,0,0.42,22,1.0,0.25,False
PubServer,1.86,0,3,1.0,5,0,0,0.0,1,1,5,0,0,72,1,0,2,0,0,7,0,0.47,13,1.0,0.015950615310834228,False
RelayDemo,2.0,1,0,1.0,1,0,0,0.0,0,0,1,1,0,85,0,0,0,0,0,2,0,0.0,4,1.0,1,0
ViewDemo,1.5,0,2,1.0,0,0,0,0.0,0,1,0,0,0,60,2,0,1,0,0,6,0,0.3,9,1.0,1,0
MessageDialog,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,40,0,0,2,0,0,2,0,1.0,2,1.0,0.028382542920920933,False
SendDialog,2.67,1,0,1.0,2,0,0,0.0,2,4,2,1,0,80,0,0,5,0,0,3,0,1.0,8,1.0,0.019720630069864242,False
SizeStreamable,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,4,1,0,0,0,6,1,0,1.0,0,1.0,0.08000000000000002,False
Streamable,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,10,0,0,0,0,18,2,0,0.0,0,1.0,1,0
ThreadFactory,0.0,0,0,1.0,0,2,2,0.0,0,0,0,0,0,9,0,0,0,0,1,6,0,0.0,0,1.0,1,0
ByteArrayDataOutputStream,2.22,0,0,1.0,1,7,10,0.0,1,0,1,0,0,192,0,0,3,0,0,27,0,0.04,60,1.0,0.07000123358101869,False
ByteArrayDataInputStream,2.62,0,0,1.0,0,2,5,0.0,1,0,0,0,0,269,0,0,3,0,0,26,0,0.0,68,1.0,0.028597924724577613,False
MergeId,1.33,0,0,1.0,0,0,0,0.0,1,0,0,0,0,48,5,0,3,0,0,9,0,0.29,12,1.0,0.020370012952669322,False
ArrayIterator,1.25,0,0,1.0,0,0,0,0.0,1,0,0,0,0,22,0,0,2,0,0,4,0,0.0,5,1.0,0.12000000000000018,False
AsciiString,1.92,0,0,1.0,0,2,7,0.0,1,0,0,0,0,80,0,0,1,0,0,12,0,0.29,23,1.0,0.16326650575040438,False
Bits,2.03,0,0,1.0,1,0,0,0.0,0,0,3,0,0,769,0,0,0,0,0,68,0,0.0,138,1.0,0.5883117440552266,False
BlockingInputStream,2.29,0,0,1.0,0,0,0,0.0,3,1,0,0,0,246,0,0,7,0,0,17,0,0.18,39,1.0,0.15399871030309822,False
BoundedHashMap,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,16,0,0,2,0,0,3,0,0.0,3,1.0,0.06611570247933882,False
ByteBufferInputStream,2.29,0,0,1.0,0,0,0,0.0,0,0,0,0,0,209,0,0,1,0,0,17,0,0.38,39,1.0,0.06463691954351598,False
ConcurrentLinkedBlockingQueue,1.91,0,0,1.0,0,0,0,0.0,0,1,0,0,0,126,0,0,5,0,0,11,0,0.02,21,1.0,0.24999999999999994,False
1,1.0,1,0,1.0,1,0,0,0.0,0,1,1,1,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
Condition,0.0,0,0,1.0,0,1,2,0.0,0,0,0,0,0,5,0,0,0,0,0,1,0,1.0,0,1.0,0.06611570247933886,False
CondVar,2.2,0,0,1.0,1,0,0,0.0,0,0,1,0,0,84,0,0,2,0,0,5,0,1.0,11,1.0,0.032787508214691126,False
DirectExecutor,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,0,1,0,1.0,1,1.0,1,0
