NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
Compile,9.5,4,0,1,3,0,0,1.5,0,0,22,1,10,110,0,0,3,0,0,2,0,1,19,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
GetOpt,5,12,0,1,5,1,1,0.5,2,0,14,5,1000,211,0,0,5,0,0,5,0,0.17,25,1
OptionMatcher,2,0,0,1,0,1,3,0,0,0,0,0,0,27,0,0,1,0,0,3,0,1,6,1
MethodType,2.29,0,0,1,0,6,8,0,1,1,0,0,0,135,4,0,2,0,0,14,0,0.47,32,1
NamedMethodGenerator,1.25,0,0,1,0,1,1,0,0,4,0,0,0,26,2,0,2,0,0,4,0,0.33,5,1
NodeCounterGenerator,1,0,2,1,0,1,1,0,0,3,0,0,0,31,1,0,1,0,0,4,0,0.33,4,1
FilterGenerator,1,0,2,1,0,1,1,0,0,3,0,0,0,25,0,0,2,0,0,3,0,0,3,1
NodeSortRecordFactGenerator,1,0,1,1,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,2,0,1,2,1
NodeSortRecordGenerator,1,0,2,1,0,0,0,0,0,3,0,0,0,25,0,0,2,0,0,3,0,0,3,1
BooleanType,1.45,1,12,1,3,0,0,0,0,1,4,1,0,150,3,0,0,0,0,20,0,0.03,29,1
RealType,1.81,1,0,1,5,0,0,0,0,2,8,1,0,255,4,0,0,0,0,27,0,0.04,49,1
ReferenceType,2.25,1,8,1,6,0,0,0.5,0,1,10,1,0,259,7,0,0,0,0,20,0,0.12,45,1
IntType,1.67,1,0,1,4,0,0,0,0,2,5,1,0,213,4,0,0,0,0,27,0,0.03,45,1
NumberType,1,0,2,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,2,0,0,2,1
MarkerInstruction,1,0,0,1,0,0,0,0,0,1,0,0,0,61,0,0,0,0,2,6,0,0,6,1
SlotAllocator,3.25,0,0,1,1,1,3,0,1,0,3,0,0,69,0,0,4,0,0,4,0,0.67,13,1
Chunk,1,0,0,1,0,1,3,0,0,0,0,0,0,98,0,0,3,3,0,6,0,0,6,1
1,1,0,1,1,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,1,1,1
Util,2.17,0,0,1,2,0,0,0,0,0,2,0,0,162,0,0,1,0,0,18,0,0.07,39,1
VoidType,1.22,1,3,1,3,0,0,0,0,1,4,1,0,60,1,0,0,0,0,9,0,0.04,11,1
DOMEnhancedForDTM,0,0,0,1,0,8,16,0,0,0,0,0,0,19,9,0,0,0,1,9,0,0,0,1
CollatorFactory,0,0,0,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1
