NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
NotCall,1.0,0,0,0.05,1,0,0,0.0,0,3,1,0,0,22,0,0,0,0,0,3,0,0.0,3,1.0,0.1111111111111111,False
NumberCall,2.0,0,0,0.11,2,0,0,0.0,0,3,5,0,0,32,0,0,0,0,0,3,0,1.0,6,1.0,0.11111111111111116,False
RelativeLocationPath,0.0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,5,2,0,0,0,2,2,0,0.0,0,1.0,1,0
ParentPattern,2.0,1,0,1.0,4,0,0,0.5,2,5,6,1,0,98,0,0,2,0,0,8,0,0.71,16,1.0,0.1111111111111111,False
PositionCall,1.67,0,1,0.0,2,0,0,0.0,0,3,2,0,0,26,0,0,0,0,0,3,0,0.0,5,1.0,0.25,False
ProcessingInstruction,2.67,0,2,1.0,9,0,0,0.0,1,2,16,0,0,85,0,0,2,0,0,3,0,1.0,8,1.0,1,0
ProcessingInstructionPattern,2.0,1,6,0.5,6,0,0,0.0,0,6,10,1,0,111,0,0,2,0,0,7,0,0.4,14,1.0,0.0292118869243724,False
RealExpr,1.0,0,2,0.33,1,0,0,0.0,0,2,1,0,0,21,0,0,1,0,0,4,0,0.33,4,1.0,0.25,False
RelationalExpr,4.64,2,1,0.67,11,0,0,0.5,1,2,30,2,0,224,3,0,3,0,0,11,0,1.0,51,1.0,0.3456000901017607,False
RoundCall,1.0,0,0,0.05,0,0,0,0.0,0,3,0,0,0,15,0,0,0,0,0,2,0,1.0,2,1.0,0.1111111111111111,False
1,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,10,0,0,0,0,0,1,0,1.0,1,1.0,1,0
2,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,10,0,0,0,0,0,1,0,1.0,1,1.0,1,0
3,2.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,13,0,0,0,0,0,1,0,1.0,2,1.0,1,0
4,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
5,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
6,2.0,0,0,1.0,1,0,0,0.0,0,1,2,0,0,11,0,0,0,0,0,1,0,1.0,2,1.0,1,0
7,2.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,2,1.0,1,0
8,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
StartsWithCall,2.0,0,0,0.11,4,0,0,0.0,1,3,6,0,0,49,0,0,2,0,0,3,0,1.0,6,1.0,0.044619696095643605,False
StringCall,2.33,0,0,0.11,4,0,0,0.0,0,3,8,0,0,37,0,0,0,0,0,3,0,1.0,7,1.0,0.1111111111111111,False
StringLengthCall,1.5,0,0,0.11,2,0,0,0.0,0,3,4,0,0,17,0,0,0,0,0,2,0,1.0,3,1.0,0.1111111111111111,False
TransletOutput,2.75,2,2,1.0,10,0,0,0.0,1,2,14,2,0,98,0,0,2,0,0,4,0,1.0,11,1.0,1,0
UnaryOpExpr,1.29,0,0,0.33,4,0,0,0.0,1,2,8,0,0,52,0,0,1,0,0,7,0,1.0,9,1.0,0.25,False
UnionPathExpr,3.0,2,0,0.33,6,0,0,0.0,1,2,9,1,0,99,0,0,4,0,0,6,0,0.4,18,1.0,0.047337278106509055,False
UnparsedEntityUriCall,1.33,0,0,0.05,3,0,0,0.0,1,3,3,0,0,28,0,0,1,0,0,3,0,1.0,4,1.0,0.11111111111111116,False
ValueOf,3.5,0,2,1.0,8,0,0,0.0,1,2,15,0,0,91,0,0,3,0,0,4,0,1.0,14,1.0,1,0
VariableRef,5.0,2,0,1.0,4,0,0,0.5,0,3,12,1,0,51,0,0,0,0,0,2,0,1.0,10,1.0,0.25,False
CUP$XPathParser$actions,106.0,8,0,1.0,63,1,1,3.0,1,0,116,5,110,2385,0,0,1,0,0,2,0,1.0,212,1.0,1,0
XslElement,4.57,4,2,1.0,11,1,1,0.5,1,2,28,3,0,253,2,0,5,0,0,7,0,0.67,32,1.0,0.02901058383852054,False
XPathFunctionResolverImpl,7.0,0,0,1.0,6,0,0,0.0,0,0,13,0,0,75,0,0,0,0,0,3,0,0.0,21,1.0,0.23833093887993698,False
ExpressionContext,0.0,0,0,1.0,0,7,11,0.0,0,0,0,0,0,62,0,0,0,0,1,7,0,0.0,0,1.0,0.08781224820446523,False
ExpressionVisitor,2.5,2,1,1.0,5,0,0,0.0,1,1,5,2,0,37,0,0,1,0,0,2,0,1.0,5,1.0,0.06129742165815387,False
ExtensionHandler,0.43,0,0,1.0,1,3,6,0.0,0,0,2,0,0,100,0,0,2,0,5,7,0,0.0,3,1.0,0.03592003927375955,False
ExtensionHandlerExsltFunction,3.25,5,0,0.0,14,0,0,1.0,2,1,18,3,1,155,1,0,3,0,0,8,0,0.05,26,1.0,0.21708549727159543,False
ExtensionHandlerGeneral,4.0,4,0,0.0,12,0,0,0.5,0,1,19,3,0,311,0,0,10,0,0,6,0,0.0,24,1.0,0.014157431664411798,False
ExtensionHandlerJava,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,63,2,0,2,0,2,3,0,1.0,3,1.0,0.15986554036527867,False
ExtensionHandlerJavaClass,9.17,5,0,1.0,9,0,0,3.0,2,2,21,3,101,399,0,0,2,0,0,6,0,0.6,55,1.0,0.07087125229342742,False
