NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
BalancedDTDGrammar,2,0,7,0.19,1,0,0,0,3,1,5,0,0,252,0,0,5,0,0,13,0,0.64,26,1
QNameHashtable,4.33,0,0,1,1,1,6,0.5,2,0,1,0,0,228,0,0,9,0,0,6,0,0.6,26,1
DTDGrammarBucket,1,1,0,1,1,3,16,0,2,0,1,1,0,72,0,0,3,4,0,8,0,0.43,8,1
XML11DTDValidator,2.33,0,0,0.23,2,0,0,0,0,1,2,0,0,52,0,0,1,0,1,3,0,0,7,1
Provider,0,0,0,1,0,1,1,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,0,1
XMLDTDValidatorFilter,0,0,0,1,0,2,2,0,0,0,0,0,0,19,2,0,0,0,4,2,0,0,0,1
XMLGrammarPool,0,0,0,1,0,8,15,0,0,0,0,0,0,59,0,0,0,0,12,6,0,0,0,1
Grammar,0,0,0,1,0,5,5,0,0,0,0,0,0,8,0,0,0,0,6,1,0,1,0,1
XMLDTDDescription,0,0,0,1,0,1,1,0,0,0,0,0,0,10,1,0,0,0,1,1,0,1,0,1
XMLGrammarLoader,0,0,0,1,0,1,5,0,0,0,0,0,0,106,0,0,0,0,3,13,0,0,0,1
XSGrammar,0,0,0,1,0,2,4,0,0,0,0,0,0,21,2,0,0,0,3,2,0,0,0,1
FilePathToURI,7,0,0,1,0,0,0,0.5,1,0,0,0,0,112,0,0,4,0,0,2,0,1,14,1
SchemaNamespaceSupport,3.83,2,0,0.8,1,3,7,0,1,1,5,1,0,213,3,0,1,0,0,6,0,0.5,23,1
XSElementDeclHelper,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,2,1,0,1,0,1
ShortVector,1.5,0,0,1,0,1,4,0,1,0,0,0,0,73,0,0,2,0,0,8,0,0.73,12,1
KeyRefValueStore,1.67,5,0,0.27,4,0,0,0,1,1,7,4,0,61,0,0,1,0,0,3,0,0,5,1
1,5,3,0,1,2,0,0,0.5,0,1,3,2,1000,33,0,0,0,0,0,1,0,1,5,1
XSNamespaceItemListIterator,1.2,2,0,1,1,0,0,0,0,0,2,1,0,39,0,0,1,0,0,10,0,0.42,12,1
DOMImplementationAS,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,3,0,0,0,1
ASModel,0,0,0,1,0,0,0,0,0,0,0,0,0,197,20,0,0,0,1,20,0,0,0,1
DOMASBuilder,0,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,0,0,1,4,0,0,0,1
DOMASWriter,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,1
ASNamedObjectMap,0,0,0,1,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,8,0,0,0,1
ASObjectList,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,1
ASNotationDeclaration,0,0,0,1,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,4,0,0,0,1
CharacterDataEditAS,0,0,0,1,0,0,0,0,0,0,0,0,0,58,6,0,0,0,0,6,0,0,0,1
DocumentAS,0,0,0,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,10,0,0,0,1
DocumentEditAS,0,0,0,1,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,2,0,0,0,1
ElementEditAS,0,0,0,1,0,0,0,0,0,0,0,0,0,124,13,0,0,0,0,13,0,0,0,1
XBase64,2.5,0,0,1,1,0,0,0,0,2,1,0,0,34,3,0,0,0,0,4,0,1,10,1
DateDV,1.75,9,3,1,2,0,0,1,0,3,12,1,0,57,0,0,0,0,0,4,0,0.17,7,1
DateTimeDV,2.67,9,1,0.27,2,0,0,0.5,0,2,12,1,0,56,0,0,0,0,1,3,0,0,8,1
DayDV,3,8,2,0.36,3,0,0,1,0,2,12,1,0,82,0,0,1,0,0,4,0,0.17,12,1
DayTimeDurationDV,5,4,2,0.4,2,0,0,0.5,0,3,5,1,0,24,0,0,0,0,0,2,0,0,10,1
XHex,2.5,0,0,1,1,0,0,0,0,2,1,0,0,34,3,0,0,0,0,4,0,1,10,1
IntegerDV,1,0,1,1,2,0,0,0,0,2,2,0,0,11,0,0,0,0,0,1,0,1,1,1
MonthDayDV,3,9,2,0.33,3,0,0,1.5,0,2,13,1,0,92,0,0,1,0,0,4,0,0.17,12,1
MonthDV,3.5,8,2,0.36,3,0,0,1,0,2,12,1,0,129,0,0,0,0,0,4,0,0.17,14,1
TimeDV,2,13,2,0.36,2,0,0,1.5,0,2,16,1,0,75,0,0,0,0,0,4,0,0.17,8,1
1,2,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,1,2,1
AbstractObjectList,1.33,0,0,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,2,3,0,0,4,1
YearDV,3.25,8,2,0.33,2,0,0,1,0,2,11,1,0,88,0,0,0,0,0,4,0,0.17,13,1
YearMonthDurationDV,3,2,2,0.4,2,0,0,0.5,0,3,3,1,0,26,0,0,0,0,0,2,0,0,6,1
YearMonthDV,1.75,9,2,0.3,2,0,0,1.5,0,2,12,1,0,63,0,0,0,0,0,4,0,0.17,7,1
XIntPool,3,0,0,1,1,1,2,0,1,0,1,0,0,16,0,0,2,0,0,1,0,1,3,1
XInt,1,0,0,1,0,10,15,0,0,0,0,0,0,24,0,0,1,0,0,5,0,1,5,1
XS10TypeHelper,1.5,2,0,1,2,0,0,0,0,0,2,2,0,30,0,0,0,0,0,2,0,1,3,1
XSGrammarPool,2.33,3,0,0.25,4,1,2,0,0,1,7,1,0,34,2,0,0,0,1,3,0,0,7,1
XSNamedMap4Types,3.4,1,3,1,2,0,0,0,0,2,4,1,0,108,0,0,1,0,0,5,0,0.67,17,1
1,1,0,0,1,1,0,0,0,0,1,1,0,0,22,0,0,0,0,0,2,0,0,2,1
XSObjectListIterator,1.2,2,0,1,1,0,0,0,0,0,2,1,0,39,0,0,1,0,0,10,0,0.42,12,1
ContentModelValidator,0,0,0,1,0,1,1,0,0,0,0,0,0,21,0,0,0,0,3,1,0,1,0,1
CMAny,1.33,0,0,1,1,1,1,0,0,1,2,0,0,118,1,0,3,4,0,9,0,0.57,12,1
CMBinOp,3,0,0,1,2,1,4,0,1,1,4,0,0,120,0,0,2,2,0,6,0,0.9,18,1
CMLeaf,1.33,3,0,1,3,1,3,0,1,1,7,1,0,110,1,0,2,3,0,9,0,0.76,12,1
CMUniOp,1.8,0,0,1,2,1,3,0,1,1,4,0,0,72,0,0,1,1,0,5,0,1,9,1
DFAContentModel,11.29,14,0,1,8,0,0,4.5,4,0,38,6,111,947,0,0,18,0,0,7,0,0.73,79,1
MixedContentModel,14,3,0,1,2,0,0,0.5,1,0,8,1,0,175,0,0,4,0,0,2,0,1,28,1
ENTITYDatatypeValidator,1.5,0,0,1,2,0,0,0,0,0,2,0,0,24,0,0,0,0,0,2,0,1,3,1
IDDatatypeValidator,3,0,0,1,3,0,0,0,0,0,6,0,0,38,0,0,0,0,1,2,0,1,6,1
IDREFDatatypeValidator,2.5,0,0,1,3,0,0,0,0,0,5,0,0,35,0,0,0,0,1,2,0,1,5,1
NMTOKENDatatypeValidator,1.5,0,0,1,2,0,0,0,0,0,2,0,0,23,0,0,0,0,1,2,0,1,3,1
NOTATIONDatatypeValidator,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1,2,1
StringDatatypeValidator,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1,2,1
XML11IDDatatypeValidator,3,0,1,1,3,0,0,0,0,1,6,0,0,39,0,0,0,0,0,2,0,1,6,1
XML11IDREFDatatypeValidator,2.5,0,1,1,3,0,0,0,0,1,5,0,0,36,0,0,0,0,0,2,0,1,5,1
XML11NMTOKENDatatypeValidator,1.5,0,1,1,2,0,0,0,0,1,2,0,0,24,0,0,0,0,0,2,0,1,3,1
Base64,7.14,0,0,1,0,0,0,3,2,0,0,0,0,268,0,0,12,0,0,7,0,0.1,50,1
HexBin,6,0,0,1,0,0,0,0,2,0,0,0,0,84,0,0,4,0,0,2,0,0,12,1
DatatypeFactoryImpl,1,0,0,1,2,2,2,0,0,1,8,0,0,332,0,0,0,0,0,9,0,0,9,1
Parser,4.38,0,0,1,1,1,1,1,0,0,10,0,0,173,0,0,6,0,0,8,0,1,35,1
CaseInsensitiveMap,3.22,0,0,1,0,0,0,0,1,0,0,0,0,138,0,0,7,0,0,9,0,0.08,29,1
XPath,5.67,0,0,1,11,3,3,0.5,1,0,38,0,0,1987,0,0,6,0,2,9,0,0.14,51,1
Scanner,32.8,0,0,1,5,1,1,2.5,3,0,58,0,0,781,0,0,49,0,1,5,0,0.17,164,1
ValueStore,0,0,0,1,0,1,2,0,0,0,0,0,0,29,0,0,0,0,4,2,0,0,0,1
FieldActivator,0,0,0,1,0,0,2,0,0,0,0,0,0,35,0,0,0,0,1,3,0,0,0,1
CMNodeFactory,2,1,0,1,9,2,8,0,2,0,12,1,0,133,0,0,8,0,0,10,0,0.19,20,1
XSCMBinOp,3,0,0,1,2,2,4,0,1,1,4,0,0,107,0,0,2,2,0,6,0,0.9,18,1
XSCMUniOp,1.8,0,0,1,2,2,4,0,1,1,4,0,0,65,0,0,1,1,0,5,0,1,9,1
XSCMLeaf,1.33,0,0,1,1,2,4,0,0,1,2,0,0,100,1,0,3,4,1,9,0,0.57,12,1
XSDFACM,8.35,12,0,1,15,0,0,4,3,0,40,7,1100,1128,1,0,17,0,0,17,0,0.45,142,1
SchemaDOMImplementation,2.17,0,0,1,0,0,0,0,1,0,0,0,0,35,0,0,1,0,0,6,0,0.2,13,1
BooleanStack,1.33,0,0,1,0,1,3,0,1,0,0,0,0,59,0,0,2,0,0,6,0,0.8,8,1
SchemaContentHandler,2.68,13,0,1,12,1,1,0.5,8,0,39,6,1101,338,0,0,12,0,0,19,0,0.34,51,1
StAXSchemaParser,4.5,12,0,1,10,1,1,4,10,0,37,6,110,367,0,0,14,0,0,16,0,0.27,72,1
XSAnnotationGrammarPool,2,1,0,1,6,1,1,0,1,0,8,1,0,66,1,0,2,0,0,8,0,0.14,16,1
