NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
XIncludeParserConfiguration,2.0,7,0,0.13,9,0,0,0.0,1,2,15,4,0,175,0,0,6,0,0,7,0,0.33,14,1.0,0.10333956357886043,False
XPointerParserConfiguration,1.86,7,0,0.13,10,0,0,0.0,2,2,16,4,0,202,0,0,8,0,0,7,0,0.33,13,1.0,0.1009882826861658,False
DeepNodeListImpl,8.0,4,0,1.0,2,0,0,0.5,1,0,4,2,0,176,0,0,6,0,1,5,0,0.67,40,1.0,0.19055744838293887,False
IntVector,1.17,0,0,1.0,0,1,1,0.0,0,0,0,0,0,56,0,0,2,0,0,6,0,0.6,7,1.0,1,0
DOMImplementationListImpl,1.4,0,0,1.0,0,0,0,0.0,1,0,0,0,0,48,0,0,1,0,0,5,0,1.0,7,1.0,0.057496171624296516,False
DOMImplementationSourceImpl,5.0,0,0,1.0,3,0,0,0.0,0,0,3,0,0,96,0,0,0,0,1,3,0,0.0,15,1.0,0.24000043596077036,False
DOMStringListImpl,1.29,0,0,1.0,0,0,0,0.0,1,0,0,0,0,62,0,0,1,0,0,7,0,1.0,9,1.0,0.02366854498516106,False
DOMXSImplementationSourceImpl,4.0,0,0,1.0,3,0,0,0.0,0,1,3,0,0,64,0,0,0,0,0,2,0,0.0,8,1.0,0.01238780395177723,False
XMLLocator,0.0,0,0,1.0,0,11,31,0.0,0,0,0,0,0,51,0,0,0,0,7,9,0,0.0,0,1.0,0.11411492272834434,False
XMLAttributes,0.0,0,0,1.0,0,28,88,0.0,0,0,0,0,0,354,0,0,0,0,2,28,0,0.0,0,1.0,2.2521806057134373,False
Augmentations,0.0,0,0,1.0,0,20,47,0.0,0,0,0,0,0,49,0,0,0,0,1,5,0,0.0,0,1.0,0.26215409657677763,False
XMLResourceIdentifier,0.0,0,0,1.0,0,17,50,0.0,0,0,0,0,0,35,0,0,0,0,8,10,0,0.0,0,1.0,0.1209990775060872,False
XMLDocumentHandler,0.0,0,0,1.0,0,21,53,0.0,0,0,0,0,0,263,0,0,0,0,45,18,0,0.0,0,1.0,1,0
XMLDocumentFragmentHandler,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,226,0,0,0,0,0,14,0,0.0,0,1.0,0.09625328598827117,False
PSVIProvider,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,60,0,0,0,0,8,3,0,0.0,0,1.0,1.6968476138885744,False
ElementPSVI,0.0,0,0,1.0,0,18,36,0.0,0,0,0,0,0,25,4,0,0,0,2,4,0,0.0,0,1.0,0.0462394714767194,False
XSObjectList,0.0,0,0,1.0,0,29,102,0.0,0,0,0,0,0,19,0,0,0,0,1,2,0,0.0,0,1.0,1,0
AttributePSVI,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,8,1,0,0,0,2,1,0,1.0,0,1.0,0.05555555555555563,False
StringList,0.0,0,0,1.0,0,8,16,0.0,0,0,0,0,0,29,0,0,0,0,2,3,0,0.0,0,1.0,0.029670072754185175,False
XSModel,0.0,0,0,1.0,0,12,81,0.0,0,0,0,0,0,151,0,0,0,0,1,13,0,0.0,0,1.0,0.43281152166456366,False
XSNamespaceItemList,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,19,0,0,0,0,1,2,0,0.0,0,1.0,1,0
XSNamespaceItem,0.0,0,0,1.0,0,1,3,0.0,0,0,0,0,0,93,0,0,0,0,3,11,0,0.0,0,1.0,0.07835599736470963,False
XSNamedMap,0.0,0,0,1.0,0,5,11,0.0,0,0,0,0,0,38,0,0,0,0,2,3,0,0.0,0,1.0,0.06766119139497644,False
XSFacet,0.0,0,0,1.0,0,3,18,0.0,0,0,0,0,0,46,7,0,0,0,1,7,0,0.0,0,1.0,0.12359985954069526,False
XSMultiValueFacet,0.0,0,0,1.0,0,2,2,0.0,0,0,0,0,0,23,4,0,0,0,1,4,0,0.0,0,1.0,0.03607884639330759,False
XSAttributeUse,0.0,0,0,1.0,0,4,10,0.0,0,0,0,0,0,86,9,0,0,0,1,9,0,0.0,0,1.0,0.16793488687919436,False
XSElementDeclaration,0.0,0,0,1.0,0,8,29,0.0,0,0,0,0,0,167,19,0,0,0,1,19,0,0.0,0,1.0,0.017501342580350562,False
XSAttributeDeclaration,0.0,0,0,1.0,0,7,18,0.0,0,0,0,0,0,99,11,0,0,0,2,11,0,0.0,0,1.0,0.019750190848062316,False
